LTTRY_PROJ_NO,TOTAL_HH_INCOME,HH_SIZE,TOTAL_HH_INCOME_count,HH_SIZE_count,TOTAL_HH_INCOME_max,HH_SIZE_max,TOTAL_HH_INCOME_min,HH_SIZE_min
200,34409.043890257366,1.9550792106725958,28011,28784,1872000.0,10,0.0,1
201,31822.918707291137,1.7808638982097484,50019,51557,1872000.0,10,0.0,1
202,34479.529106228045,1.8537200030091026,76317,79758,1872000.0,10,0.0,1
203,33095.9345621005,1.7887483719171464,23156,23801,1820000.0,10,0.0,1
204,32798.82276664064,1.8177206628339533,23046,23656,1820000.0,10,0.0,1
205,34386.17937604145,1.8940147639363416,54603,56489,31279300.0,10,0.0,1
206,33499.19596021851,2.0281635047917073,48666,51130,31279300.0,11,0.0,1
207,,2.3476863753213366,0,1556,,7,,1
208,33339.439086324724,1.8969088950677588,75749,79842,31279300.0,9,0.0,1
210,33986.18627408745,2.020627491766337,55734,57690,31279300.0,11,0.0,1
211,33172.2171812442,1.879769174743683,68438,71396,31279300.0,9,0.0,1
212,34783.67674801292,2.0951619231581806,32208,33133,31279300.0,12,0.0,1
213,35229.607678827364,2.013142784228659,30700,31348,31279300.0,9,0.0,1
215,32507.17705258057,1.7812982268275015,31000,31751,4032600.0,9,0.0,1
216,32269.8225603845,2.022935044105854,24344,24940,4032600.0,9,0.0,1
217,33216.41242703476,1.8059400124821028,26588,27239,2719678.0,9,0.0,0
218,32469.1892824889,2.029287226534933,22146,22672,3120000.0,9,0.0,1
219,32614.444245518705,2.0059281215264915,18410,18893,2773157.4,9,0.0,1
220,40329.10704678872,1.9232087719724782,79036,82262,31279300.0,10,0.0,1
222,36223.81063945743,1.7646114225117406,32293,33005,34008624.0,10,0.0,1
223,35986.82974358615,1.868657600576933,74294,77652,34008624.0,10,0.0,1
224,34479.74409862298,1.8527325136772752,81847,84995,34008624.0,10,0.0,1
225,34266.656868660946,1.8527726156285331,74540,76949,31279300.0,10,0.0,1
226,34140.195335121854,1.8803198147452747,61873,63912,34008624.0,10,0.0,1
228,35767.91279440857,1.9708791739046516,40420,41448,31279300.0,10,0.0,1
229,35696.186049248034,1.888812283650048,66967,69621,34008624.0,10,0.0,1
230,35208.769968956556,1.8953623149788832,71835,75059,31279300.0,10,0.0,1
231,34531.907991921566,1.8954983095062385,56447,58267,6132490.0,10,0.0,1
232,37112.9256078883,1.8453893013046587,78090,81094,31279300.0,10,0.0,1
233,39652.12945390263,1.9077877091516406,62498,64666,6132490.0,10,0.0,1
234,36658.205208553496,1.8621499045194143,24598,25136,6132490.0,9,0.0,1
235,32302.029227462936,1.9213997601657038,17915,18346,6132490.0,9,0.0,1
236,34370.461104840586,1.9192652712516018,25162,25751,6132490.0,9,0.0,1
237,34084.09957897749,2.017563309604388,48881,51414,6132490.0,10,0.0,1
238,32318.082852807307,1.8896004098360655,19111,19520,6132490.0,9,0.0,1
247,36340.41213482833,1.9836800337472646,37010,37929,6132490.0,10,0.0,1
248,33738.734850566274,1.7649940989235007,27370,27961,6132490.0,9,0.0,1
249,39074.319351742895,1.8195075532294516,81480,84070,6132490.0,10,0.0,1
250,35515.524705833996,1.9499545284331032,36527,37386,6132490.0,10,0.0,1
251,38248.7727850635,1.95552,66494,68750,33508852.0,10,0.0,1
253,36034.64778345034,2.0449131777990837,45052,46935,6132490.0,10,0.0,1
254,38291.86927639539,1.9588507490000262,37175,38251,6132490.0,10,0.0,1
255,36884.06405751054,1.8468936286234803,78038,80689,6132490.0,10,0.0,1
256,36214.79511051,1.9130779691749773,25880,26472,6132490.0,10,0.0,1
257,33617.3891361924,2.0515752291892113,47800,48977,6132490.0,10,0.0,1
258,35636.27960790771,1.9118292617641286,54630,56039,6132490.0,10,0.0,1
259,41605.98851275591,1.910210082545081,54759,56454,12502568.0,10,0.0,1
260,40781.55682535228,1.8962919835522725,53502,54962,6132490.0,10,0.0,1
261,33328.30116746308,2.015246585300532,50220,52274,6132490.0,10,0.0,1
262,39864.15896525556,1.915798869384112,26364,26888,6132490.0,9,0.0,1
263,34221.89141838782,1.9924793066287574,42365,43613,6132490.0,10,0.0,1
265,39923.287222260406,1.9765761527086974,29074,29756,6132490.0,9,0.0,1
266,35978.41763027206,1.7976388427003658,29400,30070,6132490.0,9,0.0,1
267,35970.68196172727,1.8997881916865238,29525,30216,6132490.0,9,0.0,1
268,36769.506943726374,1.848093610307652,37140,38030,6132490.0,9,0.0,1
269,37936.8377431992,1.897646033129904,77858,80290,12502568.0,10,0.0,1
270,36757.536656939454,1.833514245488839,89439,93047,6132490.0,10,0.0,1
271,36428.061168725006,1.7896443098755237,31821,32697,12502568.0,10,0.0,1
272,34416.68546516878,2.019158884765337,70770,74639,6132490.0,10,0.0,1
274,35894.87406747053,2.0084568298969074,59789,62080,6132490.0,10,0.0,1
275,34450.17984479926,2.036753625129768,57925,59722,6132490.0,10,0.0,1
276,39230.284350633374,1.9176002501536504,88748,92743,6132490.0,10,0.0,1
277,34636.47313788422,2.0615061506150614,42057,43329,6132490.0,10,0.0,1
278,35846.9548863344,1.8297568347300452,70030,72790,6132490.0,10,0.0,1
279,35037.00033462058,2.052067596528827,54898,56926,6132490.0,10,0.0,1
280,35752.76287823985,1.9093239346363344,36498,37452,6132490.0,10,0.0,1
281,35933.24702143832,1.8938303588562655,40768,41688,6132490.0,10,0.0,1
282,37470.27633907903,1.9317992100968067,77740,80263,6132490.0,10,0.0,1
283,39324.596177893465,1.8501485596176204,37618,38705,6132490.0,10,0.0,1
284,33735.56123077198,2.0400485229544327,56233,58529,34723260.0,10,0.0,1
285,37003.63534000156,1.868815233300959,70985,73103,6132490.0,10,0.0,1
286,35281.787056547204,2.0196234712106635,35404,36385,6132490.0,10,0.0,1
287,37153.25049281466,1.8813478312821126,72786,75321,6132490.0,10,0.0,1
288,35625.52201268136,1.9962318730255395,25707,26273,6132490.0,10,0.0,1
289,34162.18624860016,2.0323272090988627,22325,22860,6132490.0,10,0.0,1
290,37007.87693325976,2.014220782143018,21756,22221,6132490.0,10,0.0,1
291,37304.95023798157,1.9426161815861258,77401,79918,6132490.0,10,0.0,1
293,35174.218931239884,1.8533093788620862,84191,87388,12502568.0,10,0.0,1
294,35582.23198238598,2.0230905861456483,49733,51233,6132490.0,11,0.0,1
295,,1.6862853970016658,0,1801,,6,,1
297,38144.09933435689,1.8728943922500922,76212,78659,4607434.0,11,0.0,1
298,37462.14226091777,1.9511609067567381,70551,72831,3782896.0,11,0.0,1
299,37639.12315506014,2.002638638462553,66097,68217,6132490.0,11,0.0,1
300,37772.0189163463,1.8546332305216575,21852,22371,6132490.0,9,0.0,1
301,34107.6672070899,1.834639498432602,19972,20416,1820000.0,9,0.0,1
302,,1.9935794542536116,0,1246,,5,,1
303,34956.58397370769,1.8711954177251593,79339,83452,39000000.0,11,0.0,1
304,35944.05045476705,1.8729293378826088,77974,80892,5914844.0,10,0.0,1
306,36111.48763270366,1.8811437166613278,69252,71801,5914844.0,9,0.0,1
307,36448.86440896221,2.03783729961167,48381,50215,34892000.0,9,0.0,1
308,34591.95703136617,1.767463802300686,26908,27557,2385000.0,8,0.0,1
309,36602.22292128994,1.936300959232614,32715,33360,5914844.0,9,0.0,1
310,34766.247843379686,1.8737778607728321,71983,74971,39000000.0,9,0.0,1
311,35399.1499658001,1.9635876616582262,46199,47786,6132490.0,10,0.0,1
312,34900.912245650026,1.793503800967519,28219,28940,5914844.0,8,0.0,1
313,34063.3094090885,1.9795024875621892,19563,20100,3706222.0,9,0.0,1
315,36034.305279030814,1.9050477616086172,62735,64801,39000000.0,11,0.0,1
316,34948.61518805905,2.0698430231323153,45491,47077,39000000.0,10,0.0,1
317,35687.87739477476,2.0267229534638282,48610,50219,3540732.0,11,0.0,1
318,35041.77664889357,2.084507042253521,50076,51617,39000000.0,9,0.0,1
319,35147.32967210557,1.9583036494388064,70541,74395,4028206.0,11,0.0,1
320,33941.029000357914,2.0135146917778357,22348,22938,3097770.0,9,0.0,1
322,35794.91960954218,1.8967764834952083,60237,61982,3782896.0,11,0.0,1
323,33611.79833516411,2.028177871857408,62811,65193,3706222.0,10,0.0,1
324,39143.94776711867,1.9168003207698476,86937,89784,5409352.0,11,0.0,1
325,37389.0483091453,1.9332058241180987,72005,74243,18210000.0,11,0.0,1
326,36411.16784013302,1.9875795305793176,63703,65698,18210000.0,11,0.0,1
327,36864.82086024746,1.8656439076344353,42976,44129,4200638.0,9,0.0,1
328,34583.52673127694,1.827401894451962,28788,29560,3061256.9,9,0.0,1
